partner,year,product,flow,value
49,1999,233,239,69965.82736059865
49,1999,233,240,1889982.8504972877
49,1999,234,240,4596476.742877371
49,2000,224,239,6510721.0
49,2000,224,240,118511.0
49,2000,226,240,36288584.0
49,2000,232,239,630.0
49,2000,233,239,1410182.0
49,2000,233,240,112883574.0
49,2000,234,240,3313199.0
49,2001,224,239,5811515.03138229
49,2001,224,240,10130.241609482877
49,2001,232,239,1824.5487092728022
49,2001,233,239,1285443.232112859
49,2001,233,240,62073670.92111934
49,2001,234,240,2878203.189935977
49,2002,224,239,8815663.348834611
49,2002,224,240,54481.96456443914
49,2002,226,240,45169.8140846198
49,2002,232,239,405.2311964820939
49,2002,232,240,525.8272655988336
49,2002,233,239,25503.300393414742
49,2002,233,240,1907296.933385929
49,2002,234,239,4881610.104140127
49,2002,234,240,772921.0095218054
49,2003,224,239,8110239.709916052
49,2003,224,240,99030.60426000821
49,2003,232,239,693.6417458943977
49,2003,233,239,28406.030790831934
49,2003,233,240,1056151.1867425726
49,2003,234,240,221301.25060595127
49,2004,224,239,6744601.390106713
49,2004,224,240,84559.54971261934
49,2004,233,239,36716.015420313655
49,2004,233,240,1553096.4472371528
49,2004,234,240,634164.5037057926
49,2005,224,239,5090519.511346577
49,2005,224,240,306.308080264243
49,2005,233,239,80761.6890370389
49,2005,233,240,1609411.8588738148
49,2005,234,240,441917.70827058115
49,2006,224,239,2634284.535934801
49,2006,224,240,28931.020540420195
49,2006,226,240,53.17356430509323
49,2006,232,240,342.56046235011985
49,2006,233,239,331244.6699785228
49,2006,233,240,763188.9202170154
49,2006,234,240,805823.3818199848
49,2007,224,239,2505937.3804140245
49,2007,224,240,1189.6614318376887
49,2007,226,240,637.2330665904656
49,2007,233,239,70044.97431480429
49,2007,233,240,883886.8217633764
49,2007,234,240,61883.954972850464
49,2008,224,239,2789585.9628942297
49,2008,224,240,1124.2082697510766
49,2008,226,240,288.9913913766892
49,2008,227,239,40024578.36472149
49,2008,232,239,2008.5480673936572
49,2008,233,239,562727.6812686383
49,2008,233,240,846469.8996959919
49,2008,234,239,479763.39821610285
49,2009,224,239,3514009.288805687
49,2009,224,240,587619.2551950851
49,2009,226,240,528.5199034772883
49,2009,227,239,101513911.6529769
49,2009,233,239,395296.6701492219
49,2009,233,240,1442309.2799855233
49,2009,234,239,13348066.496267581
49,2010,224,239,3900054.61015349
49,2010,224,240,908706.0230133029
49,2010,226,240,303.9513879382951
49,2010,227,239,74382316.92991629
49,2010,233,239,211591.2901025448
49,2010,233,240,594122.9663093205
