"player","acronym","public","role","product","marketshare"
"Petroleos y Servicios PYS C.A","","0","Distribution/Final Sale","Oil Derivatives","0.23"
"Primax","","0","Distribution/Final Sale","Oil Derivatives","0.17"
"Masgas","","0","Distribution/Final Sale","Oil Derivatives","0.08"
"PDV Ecuador (Pdvsa)","","1","Distribution/Final Sale","Oil Derivatives","0.03"
"Other oil derivatives distribution/final sale companies","","0","Distribution/Final Sale","Oil Derivatives","0.26"
"Duragas-Repsol","","0","Distribution/Final Sale","LPG","0.37"
"Congas","","0","Distribution/Final Sale","LPG","0.14"
"Other LPG distribution/final sale companies","","0","Distribution/Final Sale","LPG","0.11"
"Industry","","0","Consumption","Natural Gas","1.0"
"Industry","","0","Consumption","Oil Derivatives","0.17"
"Industry","","0","Consumption","LPG","0.06"
"Transport","","0","Consumption","Oil Derivatives","0.79"
"Transport","","0","Consumption","LPG","0.01"
"Residential","","0","Consumption","LPG","0.91"
"Other","","0","Consumption","Oil Derivatives","0.04"
"Other","","0","Consumption","LPG","0.02"
