"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"2008","Ley del 11/27/2008. D.O.F. del 11/28/2008","39487453.0","http://www.iadb.org/document.cfm?id=39487453","1","1","Ley de la Comisión Nacional de Hidrocarburos (CNH)","0","1"
"2008","Ley del 11/27/2008. D.O.F. del 11/28/2008","39487453.0","http://www.iadb.org/document.cfm?id=39487453","0","1","Ley para el uso de energía renovable y el financiamiento de la transición de energía ","1","0"
"2008","Ley del 11/27/2008. D.O.F. del 11/28/2008","39487453.0","http://www.iadb.org/document.cfm?id=39487453","0","1","Ley para el uso de energía sustentable ","1","0"
"2008","Ley del 11/27/2008. D.O.F. del 11/28/2008","39487453.0","http://www.iadb.org/document.cfm?id=39487453","1","0","Reforma de la ley orgánica de la administración federal pública ","0","1"
"2008","Ley del 11/27/2008. D.O.F. del 11/28/2008","39487453.0","http://www.iadb.org/document.cfm?id=39487453","1","1","Reforma de la ley de la Comisión Reguladora de Energía (CRE)","1","0"
"2008","Ley del 11/27/2008. D.O.F. del 11/28/2008","39487453.0","http://www.iadb.org/document.cfm?id=39487453","0","1","Reforma de la ley de artículo 27 sobre asuntos petroleros  ","0","1"
"2008","Ley del 11/27/2008. D.O.F. de 11/28/2008","39487453.0","http://www.iadb.org/document.cfm?id=39487453","1","0","Reforma de la ley de obras y servicios públicos  ","0","1"
"2008","Ley del 11/27/2008. D.O.F. del 11/28/2008","39487453.0","http://www.iadb.org/document.cfm?id=39487453","1","0","Reforma de la ley de adquisición y de servicios del sector público  ","0","1"
"2013","Decreto del 12/30/2013. D.O.F. del 12/30/2013","39413406.0","http://www.iadb.org/document.cfm?id=39413406","1","0","Ley de reformas a la Constitución (artículos, 25, 27 y 28)","1","1"
"2014","Ley del 08/11/2014. D.O.F. del 08/11/2014","39413484.0","http://www.iadb.org/document.cfm?id=39413484","1","1","Ley de Hidrocarburos ","0","1"
"2014","Ley del 08/11/2014. D.O.F. del 08/11/2014","39413448.0","http://www.iadb.org/document.cfm?id=39413448","1","1","Ley de Ingresos de Hidrocarburos","0","1"
"2014","Ley del 08/11/2014. D.O.F. del 08/11/2014","39413479.0","http://www.iadb.org/document.cfm?id=39413479","1","1","Ley de Petróleos Mexicanos","0","1"
"2014","Ley del 08/11/2014. D.O.F. del 08/11/2014","39413459.0","http://www.iadb.org/document.cfm?id=39413459","0","1","Ley del Fondo Mexicano Del Petróleo para la Estabilización Y el Desarrollo","0","1"
"2014","Ley del 08/11/2014. D.O.F. del 08/11/2014","39413474.0","http://www.iadb.org/document.cfm?id=39413474","0","1","Ley de los Órganos Reguladores Coordinados en Materia Energética","1","1"
"2014","Ley del 08/11/2014. D.O.F. del 08/11/2014","39413465.0","http://www.iadb.org/document.cfm?id=39413465","1","1","Ley de la Industria Eléctrica","1","0"
"2014","Ley del 08/11/2014. D.O.F. del 08/11/2014","39413434.0","http://www.iadb.org/document.cfm?id=39413434","1","1","Ley de Energía Geotérmica","1","0"
"2014","Ley del 08/11/2014. D.O.F. del 08/11/2014","39413469.0","http://www.iadb.org/document.cfm?id=39413469","0","1","Ley de la Comisión Federal de Electricidad","1","0"
"2014","Ley del 08/11/2014. D.O.F. del 08/11/2014","39413491.0","http://www.iadb.org/document.cfm?id=39413491","0","1","Ley de la Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector de Hidrocarburos","0","1"
"2014","Decreto del 08/11/2014. D.O.F. del 08/28/2014","39413441.0","http://www.iadb.org/document.cfm?id=39413441","0","1","Decreto por el que se crea el Centro Nacional de Control de Energía","1","0"
"2014","Decreto del 08/11/2014. D.O.F. del 08/28/2014","39413439.0","http://www.iadb.org/document.cfm?id=39413439","0","1","Decreto por el que se crea el Centro Nacional de Control del Gas Natural","0","1"
